Driver instructions:

Strategy instructions:

Power 1:

Power 2:

Power 3:

Rpm 1:
1, rpm, x, 10:57:29.518
2, rpm, 300, 10:57:32.188
3, rpm, 283, 10:57:30.877
4, rpm, 280, 10:57:34.881
5, rpm, 285, 10:57:33.488
6, rpm, 267, 10:57:36.268
7, rpm, 257, 10:57:37.594
8, rpm, 243, 10:57:38.915
9, rpm, 234, 10:57:40.272
10, rpm, 225, 10:57:41.587
11, rpm, 213, 10:57:42.919
12, rpm, 201, 10:57:44.270
13, rpm, 193, 10:57:45.599
14, rpm, 184, 10:57:46.931
15, rpm, 173, 10:57:48.301
16, rpm, 165, 10:57:49.617
17, rpm, 154, 10:57:51.267
18, rpm, 145, 10:57:52.665
19, rpm, 132, 10:57:55.119
20, rpm, 123, 10:57:56.430
21, rpm, 112, 10:57:57.729
22, rpm, 107, 10:57:59.041
23, rpm, 99, 10:58:00.368
24, rpm, 92, 10:58:01.701
25, rpm, 84, 10:58:03.049
26, rpm, 79, 10:58:04.380
27, rpm, 70, 10:58:05.730
28, rpm, 65, 10:58:07.237
29, rpm, 53, 10:58:08.655
30, rpm, 46, 10:58:09.979
31, rpm, 38, 10:58:11.525
32, rpm, 38, 10:58:11.525
33, rpm, 28, 10:58:14.323
34, rpm, 28, 10:58:14.323
35, rpm, 28, 10:58:14.323
36, rpm, 28, 10:58:14.323
37, rpm, 28, 10:58:14.323
38, rpm, 28, 10:58:14.323
39, rpm, 28, 10:58:14.323
40, rpm, 28, 10:58:14.323
41, rpm, 28, 10:58:14.323
42, rpm, 28, 10:58:14.323
43, rpm, 28, 10:58:14.323
44, rpm, 28, 10:58:14.323
45, rpm, 28, 10:58:14.323
46, rpm, 28, 10:58:14.323
47, rpm, 28, 10:58:14.323
48, rpm, 28, 10:58:14.323
49, rpm, 28, 10:58:14.323
50, rpm, 28, 10:58:14.323
51, rpm, 28, 10:58:14.323
52, rpm, 28, 10:58:14.323
53, rpm, 28, 10:58:14.323
54, rpm, 28, 10:58:14.323
55, rpm, 28, 10:58:14.323
56, rpm, 28, 10:58:14.323
57, rpm, 28, 10:58:14.323
58, rpm, 28, 10:58:14.323
59, rpm, 28, 10:58:14.323
60, rpm, 28, 10:58:14.323
61, rpm, 28, 10:58:14.323
62, rpm, 28, 10:58:14.323
63, rpm, 28, 10:58:14.323
64, rpm, 28, 10:58:14.323
65, rpm, 28, 10:58:14.323
66, rpm, 28, 10:58:14.323
67, rpm, 28, 10:58:14.323
68, rpm, 28, 10:58:14.323
69, rpm, 28, 10:58:14.323
70, rpm, 28, 10:58:14.323
71, rpm, 28, 10:58:14.323
72, rpm, 28, 10:58:14.323
73, rpm, 28, 10:58:14.323
74, rpm, 28, 10:58:14.323
75, rpm, 28, 10:58:14.323
76, rpm, 28, 10:58:14.323
77, rpm, 28, 10:58:14.323
78, rpm, 28, 10:58:14.323
79, rpm, 28, 10:58:14.323
80, rpm, 28, 10:58:14.323
81, rpm, 28, 10:58:14.323
82, rpm, 28, 10:58:14.323
83, rpm, 28, 10:58:14.323
84, rpm, 28, 10:58:14.323
85, rpm, 28, 10:58:14.323
86, rpm, 28, 10:58:14.323
87, rpm, 28, 10:58:14.323
88, rpm, 28, 10:58:14.323
89, rpm, 28, 10:58:14.323
90, rpm, 28, 10:58:14.323
91, rpm, 28, 10:58:14.323
92, rpm, 28, 10:58:14.323
93, rpm, 28, 10:58:14.323
94, rpm, 28, 10:58:14.323
95, rpm, 28, 10:58:14.323
96, rpm, 28, 10:58:14.323
97, rpm, 28, 10:58:14.323
98, rpm, 28, 10:58:14.323
99, rpm, 28, 10:58:14.323
100, rpm, 28, 10:58:14.323
101, rpm, 28, 10:58:14.323
102, rpm, 28, 10:58:14.323
103, rpm, 28, 10:58:14.323
104, rpm, 28, 10:58:14.323
105, rpm, 28, 10:58:14.323
106, rpm, 28, 10:58:14.323
107, rpm, 28, 10:58:14.323
108, rpm, 28, 10:58:14.323
109, rpm, 28, 10:58:14.323
110, rpm, 28, 10:58:14.323
111, rpm, 28, 10:58:14.323
112, rpm, 28, 10:58:14.323
113, rpm, 28, 10:58:14.323
114, rpm, 28, 10:58:14.323
115, rpm, 28, 10:58:14.323
116, rpm, 28, 10:58:14.323
117, rpm, 28, 10:58:14.323
118, rpm, 28, 10:58:14.323
119, rpm, 28, 10:58:14.323
120, rpm, 28, 10:58:14.323
121, rpm, 28, 10:58:14.323
122, rpm, 28, 10:58:14.323
123, rpm, 28, 10:58:14.323
124, rpm, 28, 10:58:14.323
125, rpm, 28, 10:58:14.323
126, rpm, 28, 10:58:14.323
127, rpm, 28, 10:58:14.323
128, rpm, 28, 10:58:14.323
129, rpm, 28, 10:58:14.323
130, rpm, 28, 10:58:14.323
131, rpm, 28, 10:58:14.323
132, rpm, 28, 10:58:14.323
133, rpm, 28, 10:58:14.323
134, rpm, 28, 10:58:14.323
135, rpm, 28, 10:58:14.323
136, rpm, 28, 10:58:14.323
137, rpm, 28, 10:58:14.323
138, rpm, 28, 10:58:14.323
139, rpm, 28, 10:58:14.323
140, rpm, 28, 10:58:14.323
141, rpm, 28, 10:58:14.323
142, rpm, 28, 10:58:14.323
143, rpm, 28, 10:58:14.323
144, rpm, 28, 10:58:14.323
145, rpm, 28, 10:58:14.323
146, rpm, 28, 10:58:14.323
147, rpm, 28, 10:58:14.323
148, rpm, 28, 10:58:14.323
149, rpm, 28, 10:58:14.323
150, rpm, 28, 10:58:14.323
151, rpm, 28, 10:58:14.323
152, rpm, 28, 10:58:14.323
153, rpm, 28, 10:58:14.323
154, rpm, 28, 10:58:14.323
155, rpm, 28, 10:58:14.323
156, rpm, 28, 10:58:14.323
157, rpm, 28, 10:58:14.323
158, rpm, 28, 10:58:14.323
159, rpm, 28, 10:58:14.323
160, rpm, 28, 10:58:14.323
161, rpm, 28, 10:58:14.323
162, rpm, 28, 10:58:14.323
163, rpm, 28, 10:58:14.323
164, rpm, 28, 10:58:14.323
165, rpm, 28, 10:58:14.323
166, rpm, 28, 10:58:14.323
167, rpm, 28, 10:58:14.323
168, rpm, 28, 10:58:14.323
169, rpm, 28, 10:58:14.323
170, rpm, 0, 11:01:37.777
171, rpm, 0, 11:01:37.777
172, rpm, 0, 11:01:37.777
173, rpm, 0, 11:01:37.777
174, rpm, 0, 11:01:37.777
175, rpm, 0, 11:01:37.777
176, rpm, 0, 11:01:37.777
177, rpm, 0, 11:01:37.777
178, rpm, 4, 11:01:48.826
179, rpm, 4, 11:01:48.826
180, rpm, 4, 11:01:48.826
181, rpm, 14, 11:01:52.836
182, rpm, 14, 11:01:52.836
183, rpm, 14, 11:01:52.836
184, rpm, 14, 11:01:52.836
185, rpm, 14, 11:01:52.836
186, rpm, 14, 11:01:52.836
187, rpm, 14, 11:01:52.836
188, rpm, 14, 11:01:52.836
189, rpm, 14, 11:01:52.836
190, rpm, 14, 11:01:52.836
191, rpm, 14, 11:01:52.836
192, rpm, 14, 11:01:52.836
193, rpm, 3, 11:02:09.757
194, rpm, 3, 11:02:09.757
195, rpm, 3, 11:02:09.757
196, rpm, 3, 11:02:09.757
197, rpm, 3, 11:02:09.757
198, rpm, 3, 11:02:09.757
199, rpm, 3, 11:02:09.757
200, rpm, 3, 11:02:09.757
201, rpm, 3, 11:02:09.757
202, rpm, 3, 11:02:09.757
203, rpm, 3, 11:02:09.757
204, rpm, 3, 11:02:09.757
205, rpm, 3, 11:02:09.757
206, rpm, 3, 11:02:09.757
207, rpm, 3, 11:02:09.757
208, rpm, 3, 11:02:09.757
209, rpm, 3, 11:02:09.757
210, rpm, 3, 11:02:09.757
211, rpm, 3, 11:02:09.757
212, rpm, 3, 11:02:09.757
213, rpm, 3, 11:02:09.757
214, rpm, 3, 11:02:09.757
215, rpm, 1, 11:02:42.725
216, rpm, 1, 11:02:42.725
217, rpm, 1, 11:02:42.725
218, rpm, 1, 11:02:42.725
219, rpm, 12000, 11:02:51.123
220, rpm, , 11:02:53.170
221, rpm, , 11:02:53.170
222, rpm, , 11:02:53.170
223, rpm, , 11:02:53.170
224, rpm, , 11:02:53.170
225, rpm, , 11:02:53.170
226, rpm, , 11:02:53.170
227, rpm, , 11:02:53.170
228, rpm, , 11:02:53.170
229, rpm, , 11:02:53.170
230, rpm, , 11:02:53.170
231, rpm, , 11:02:53.170
232, rpm, , 11:02:53.170
233, rpm, , 11:02:53.170
234, rpm, , 11:02:53.170
235, rpm, , 11:02:53.170
236, rpm, , 11:02:53.170
237, rpm, , 11:02:53.170
238, rpm, , 11:02:53.170
239, rpm, , 11:02:53.170
240, rpm, , 11:02:53.170
241, rpm, , 11:02:53.170
242, rpm, , 11:02:53.170
243, rpm, , 11:02:53.170
244, rpm, , 11:02:53.170
245, rpm, , 11:02:53.170
246, rpm, , 11:02:53.170
247, rpm, , 11:02:53.170
248, rpm, , 11:02:53.170
249, rpm, , 11:02:53.170
250, rpm, , 11:02:53.170
251, rpm, , 11:02:53.170
252, rpm, , 11:02:53.170
253, rpm, 1, 11:03:45.149
254, rpm, 1, 11:03:45.149
255, rpm, 1, 11:03:45.149
256, rpm, 1, 11:03:45.149
257, rpm, 1, 11:03:45.149
258, rpm, 1, 11:03:45.149
259, rpm, 1, 11:03:45.149
260, rpm, 1, 11:03:45.149
261, rpm, 1, 11:03:45.149
262, rpm, 1, 11:03:45.149
263, rpm, 1, 11:03:45.149
264, rpm, 1, 11:03:45.149
265, rpm, 1, 11:03:45.149
266, rpm, 1, 11:03:45.149
267, rpm, 1, 11:03:45.149
268, rpm, 1, 11:03:45.149
269, rpm, 1, 11:03:45.149
270, rpm, 1, 11:03:45.149
271, rpm, 1, 11:03:45.149
272, rpm, 1, 11:03:45.149
273, rpm, 1, 11:03:45.149
274, rpm, 1, 11:03:45.149
275, rpm, 1, 11:03:45.149
276, rpm, 1, 11:03:45.149
277, rpm, 1, 11:03:45.149
278, rpm, 1, 11:03:45.149
279, rpm, 1, 11:03:45.149
280, rpm, 1, 11:03:45.149
281, rpm, 1, 11:03:45.149
282, rpm, 1, 11:03:45.149
283, rpm, 1, 11:03:45.149
284, rpm, 1, 11:03:45.149
285, rpm, 1, 11:03:45.149
286, rpm, 1, 11:03:45.149
287, rpm, 1, 11:03:45.149
288, rpm, 1, 11:03:45.149
289, rpm, 1, 11:03:45.149
290, rpm, 1, 11:03:45.149
291, rpm, 1, 11:03:45.149
292, rpm, 3000, 11:04:47.343
293, rpm, 3000, 11:04:47.343
294, rpm, 3000, 11:04:47.343
295, rpm, 3000, 11:04:47.343
296, rpm, 3000, 11:04:47.343
297, rpm, 3000, 11:04:47.343
298, rpm, 3000, 11:04:47.343
299, rpm, 3000, 11:04:47.343
300, rpm, 3000, 11:04:47.343
301, rpm, 2000, 11:05:02.195
302, rpm, 3529, 11:05:04.985
303, rpm, 15000, 11:05:06.852
304, rpm, 15000, 11:05:06.852
305, rpm, 15000, 11:05:06.852
306, rpm, 12000, 11:05:11.288
307, rpm, 12000, 11:05:11.288
308, rpm, 12000, 11:05:11.288
309, rpm, 12000, 11:05:11.288
310, rpm, 12000, 11:05:11.288
311, rpm, 12000, 11:05:11.288
312, rpm, 12000, 11:05:11.288
313, rpm, 12000, 11:05:11.288
314, rpm, 12000, 11:05:11.288
315, rpm, 12000, 11:05:11.288
316, rpm, 12000, 11:05:11.288
317, rpm, 12000, 11:05:11.288
318, rpm, 12000, 11:05:11.288
319, rpm, 12000, 11:05:11.288
320, rpm, 12000, 11:05:11.288
321, rpm, 12000, 11:05:11.288
322, rpm, 12000, 11:05:11.288
323, rpm, 12000, 11:05:11.288
324, rpm, 12000, 11:05:11.288
325, rpm, 12000, 11:05:11.288
326, rpm, 12000, 11:05:11.288
327, rpm, 12000, 11:05:11.288
328, rpm, 12000, 11:05:11.288
329, rpm, 12000, 11:05:11.288
330, rpm, 12000, 11:05:11.288
331, rpm, 12000, 11:05:11.288
332, rpm, 12000, 11:05:11.288
333, rpm, 12000, 11:05:11.288
334, rpm, 12000, 11:05:11.288
335, rpm, 12000, 11:05:11.288
336, rpm, 12000, 11:05:11.288
337, rpm, 12000, 11:05:11.288
338, rpm, 12000, 11:05:11.288
339, rpm, 12000, 11:05:11.288
340, rpm, 12000, 11:05:11.288
341, rpm, 12000, 11:05:11.288
342, rpm, 12000, 11:05:11.288
343, rpm, 12000, 11:05:11.288
344, rpm, 12000, 11:05:11.288
345, rpm, 12000, 11:05:11.288
346, rpm, 12000, 11:05:11.288
347, rpm, 12000, 11:05:11.288
348, rpm, 12000, 11:05:11.288
349, rpm, -1, 11:10:07.134
350, rpm, -1, 11:10:07.134
351, rpm, -1, 11:10:07.134
352, rpm, -1, 11:10:07.134
353, rpm, -1, 11:10:07.134
354, rpm, -1, 11:10:07.134
355, rpm, -1, 11:10:07.134
356, rpm, -1, 11:10:07.134
357, rpm, -1, 11:10:07.134
358, rpm, -1, 11:10:07.134
359, rpm, -1, 11:10:07.134
360, rpm, -1, 11:10:07.134
361, rpm, -1, 11:10:07.134
362, rpm, -1, 11:10:07.134
363, rpm, -1, 11:10:07.134
364, rpm, -1, 11:10:07.134
365, rpm, -1, 11:10:07.134
366, rpm, -1, 11:10:07.134
367, rpm, -1, 11:10:07.134
368, rpm, -1, 11:10:07.134
369, rpm, -1, 11:10:07.134
370, rpm, -1, 11:10:07.134
371, rpm, -1, 11:10:07.134
372, rpm, -1, 11:10:07.134
373, rpm, -1, 11:10:07.134
374, rpm, -1, 11:10:07.134
375, rpm, -1, 11:10:07.134
376, rpm, -1, 11:10:07.134
377, rpm, -1, 11:10:07.134
378, rpm, -1, 11:10:07.134
379, rpm, -1, 11:10:07.134
380, rpm, -1, 11:10:07.134
381, rpm, -1, 11:10:07.134
382, rpm, -1, 11:10:07.134
383, rpm, -1, 11:10:07.134
384, rpm, -1, 11:10:07.134
385, rpm, -1, 11:10:07.134
386, rpm, -1, 11:10:07.134
387, rpm, -1, 11:10:07.134
388, rpm, -1, 11:10:07.134
389, rpm, -1, 11:10:07.134
390, rpm, -1, 11:10:07.134
391, rpm, -1, 11:10:07.134
392, rpm, -1, 11:10:07.134
393, rpm, -1, 11:10:07.134
394, rpm, -1, 11:10:07.134
395, rpm, -1, 11:10:07.134
396, rpm, -1, 11:10:07.134
397, rpm, -1, 11:10:07.134
398, rpm, -1, 11:10:07.134
399, rpm, -1, 11:10:07.134
400, rpm, -1, 11:10:07.134
401, rpm, -1, 11:10:07.134
402, rpm, -1, 11:10:07.134
403, rpm, -1, 11:10:07.134
404, rpm, -1, 11:10:07.134
405, rpm, -1, 11:10:07.134
406, rpm, -1, 11:10:07.134
407, rpm, -1, 11:10:07.134
